date,hour,size,lret,vol
2003-09-16,9,903900.0,0.34726894789725,0.446082629439939
2003-09-16,10,1233400.0,0.159872136369721,0.33651754672052303
2003-09-16,11,1146500.0,-0.48038523126456795,0.261474208442591
2003-09-16,12,772800.0,-0.0535188666774822,0.27556183438614695
2003-09-16,13,914700.0,-0.0267701781815344,0.14910673969228697
2003-09-16,14,1434400.0,0.48077015681031704,0.43427742186424
2003-09-16,15,1834300.0,0.42541941321143606,0.38917227653833897
2003-09-16,16,218800.0,0.0265287174920914,0.0265287174920914
2003-09-17,9,1015800.0,-0.346805736419986,0.22168900258870497
2003-09-17,10,2329000.0,-0.831884577343756,0.43729352896650897
2003-09-17,11,1163100.0,0.107729609126217,0.21850663525815398
2003-09-17,12,1116800.0,0.0538213145392596,0.157068947409948
2003-09-17,13,1443400.0,-0.5936336914949879,0.24354735243646
2003-09-17,14,1618600.0,-0.0541418529739435,0.340297759513074
2003-09-17,15,2352000.0,-0.108371725588752,0.319205050197949
2003-09-17,16,354000.0,-0.0542299362531029,0.0542299362531029
2003-09-18,9,1086000.0,0.19029501460860998,0.22902544663091
2003-09-18,10,1646000.0,0.21703752415498398,0.33016316887610997
2003-09-18,11,1601400.0,-0.244200365555169,0.38104833335311206
2003-09-18,12,1054600.0,0.298386224372171,0.280728740961271
2003-09-18,13,852000.0,0.0270819229819974,0.21495252242336602
2003-09-18,14,885400.0,0.0,0.15312205613513402
2003-09-18,15,1929000.0,0.43231626370277004,0.250326848563614
2003-09-18,16,187700.0,-0.026965080384489,0.026965080384489
2003-09-19,9,2672700.0,0.16268984065614903,0.46737001681449103
2003-09-19,10,1724400.0,0.35158927360714504,0.39773838914290705
2003-09-19,11,742400.0,0.242685841101009,0.21738700547013898
2003-09-19,12,932600.0,-0.323712179092395,0.49748800296229995
2003-09-19,13,954000.0,-0.27056293561575895,0.23889172344602203
2003-09-19,14,1334500.0,-0.0542005433322945,0.268410510873467
2003-09-19,15,1852800.0,0.351779553676757,0.3051927910836861
2003-09-19,16,664000.0,-0.0540394501127306,0.0540394501127306
2003-09-22,9,880100.0,0.0545553750574079,0.234406258428762
2003-09-22,10,2207700.0,-0.38251412760432796,0.48828236544269704
2003-09-22,11,1392000.0,0.355240160436754,0.48090002067990006
2003-09-22,12,1020500.0,-0.24580102502689302,0.213229204011052
2003-09-22,13,1120400.0,0.40933335909998403,0.32182862624915803
2003-09-22,14,1232100.0,-0.163532334073091,0.397170645768864
2003-09-22,15,1535100.0,0.190761742001699,0.33921823409732604
2003-09-22,16,271600.0,-0.0544662322832679,0.0544662322832679
2003-09-23,9,931200.0,0.24426664336987303,0.394279508496155
2003-09-23,10,1237400.0,0.135446316250976,0.316999753376625
2003-09-23,11,1251400.0,-0.0812457729186811,0.160295732028314
2003-09-23,12,974500.0,0.297579010344462,0.243285382345028
2003-09-23,13,744300.0,0.0540102632626827,0.22923055819953098
2003-09-23,14,1187800.0,0.161855983541104,0.19459534637508802
2003-09-23,15,1704300.0,-0.161855983541104,0.20549091274633802
2003-09-23,16,300600.0,0.0,0.0
2003-09-24,9,1302400.0,0.13367198889207,0.234405527390437
2003-09-24,10,1744800.0,-0.160427841894473,0.23926132434103
2003-09-24,11,1284100.0,-0.294787832395027,0.18661186810918104
2003-09-24,12,1400200.0,-0.403389010093624,0.394316361684346
2003-09-24,13,1130400.0,-0.269832867444153,0.219117711346027
2003-09-24,14,1211200.0,-0.0540540553701785,0.300614503118312
2003-09-24,15,2029600.0,-0.162337697989123,0.229730431031564
2003-09-24,16,301400.0,-0.0812677817989993,0.0812677817989993
2003-09-25,9,1131500.0,0.10775863111702802,0.401827380573234
2003-09-25,10,1584900.0,-0.0808080852053639,0.397217420722351
2003-09-25,11,1704200.0,0.644643650632037,0.31298929655995694
2003-09-25,12,1375600.0,0.107037741019589,0.210625947810985
2003-09-25,13,870000.0,-0.32145754978554203,0.22417363393164103
2003-09-25,14,1413700.0,0.0536480699562247,0.20779760820683102
2003-09-25,15,1696000.0,-0.34922802450916307,0.250401031950537
2003-09-25,16,354800.0,-0.134643887313146,0.134643887313146
2003-09-26,9,1033400.0,-0.6235617331043829,0.314996340491522
2003-09-26,10,1819000.0,-0.108843548160475,0.35660196354495793
2003-09-26,11,1191200.0,-0.35456194242553496,0.34805841918623204
2003-09-26,12,934800.0,0.324609185867297,0.347304379813158
2003-09-26,13,655600.0,0.19317368506896998,0.22698635881212498
2003-09-26,14,1075400.0,0.0271776058202278,0.264776473259316
2003-09-26,15,1624500.0,0.19003670711677,0.35665568806867703
2003-09-26,16,244500.0,-0.21721431293699697,0.21721431293699697
2003-09-29,9,668800.0,-0.354079084351477,0.358519306878044
2003-09-29,10,1148700.0,0.109081003453015,0.685965416351155
2003-09-29,11,1265700.0,0.543627324139351,0.48363530839159896
2003-09-29,12,1095600.0,0.21662613399562303,0.406708769057034
2003-09-29,13,978800.0,-0.29798207068632,0.298073254998099
2003-09-29,14,842200.0,0.32502737173016905,0.337981197691885
2003-09-29,15,1285300.0,-0.108225118788496,0.386973141652367
2003-09-29,16,254700.0,0.189317162697078,0.189317162697078
2003-09-30,9,799600.0,-0.16330978044374303,0.5772863809634089
2003-09-30,10,1748900.0,-0.190865770281334,0.6689450049785041
2003-09-30,11,1100500.0,0.24533200256460197,0.29744247404046903
2003-09-30,12,1101800.0,-0.0544662322832679,0.39850608071144
2003-09-30,13,940400.0,0.0816882278236619,0.289248462324683
2003-09-30,14,1140500.0,-0.0272219955403941,0.227561353450623
