"date","hour","size","lret","vol","garch_vol"
2015-01-02,9,947305,0.246504438647976,0.281734310019156,0.341822013298815
2015-01-02,10,1552606,0.114545119963205,0.535463567868671,0.341822013298815
2015-01-02,11,1186241,-0.350411826565589,0.229218778929477,0.341822013298815
2015-01-02,12,1148325,-0.0638433730985266,0.199784365914891,0.341822013298815
2015-01-02,13,856781,0.031926781519509,0.196844418395177,0.341822013298815
2015-01-02,14,1033244,0.0638229997199424,0.0946431140747555,0.341822013298815
2015-01-02,15,2113586,0,0.140804002336419,0.341822013298815
2015-01-02,16,585712,-0.127686759208245,0.127686759208245,0.341822013298815
2015-01-05,9,1503872,-1.0355043154457,0.550154103045162,0.341822013298815
2015-01-05,10,3556807,1.09920534743311,0.593313185746556,0.341822013298815
2015-01-05,11,2586810,0.0636604796035112,0.327825084517603,0.341822013298815
2015-01-05,12,1784584,-0.453295668745923,0.301259643875652,0.341822013298815
2015-01-05,13,1595019,-0.44166023005543,0.189703337730283,0.341822013298815
2015-01-05,14,1782984,-0.0856531101616209,0.234224918986859,0.341822013298815
2015-01-05,15,2460442,-0.0321388400645439,0.227878095983005,0.341822013298815
2015-01-05,16,793109,-0.160849318900436,0.160849318900436,0.341822013298815
2015-01-06,9,1134461,-0.235369745976977,0.30414547560894,0.501263150229481
2015-01-06,10,2519849,0.0428357256496259,0.504356409918367,0.510345274732794
2015-01-06,11,2100583,-0.300236125166897,0.40154904185243,0.31332159821379
2015-01-06,12,2302523,0.593595555201087,0.56893476753566,0.357802980264629
2015-01-06,13,2905664,0.229894473531722,0.312911417593217,0.366185536193966
2015-01-06,14,3211794,0.837890037532718,0.465777877049807,0.317938395685621
2015-01-06,15,4337484,-0.571974867278691,0.411695605679952,0.333310654150855
2015-01-06,16,1348486,-0.0850159456094346,0.0850159456094346,0.332416320785919
2015-01-07,9,2227079,-0.516398366291781,0.320256160827729,0.39754333573559
2015-01-07,10,3816524,-0.42734417750121,0.481147907927506,0.392512860024843
2015-01-07,11,2348353,-0.36852755138459,0.411061300356955,0.332817659120854
2015-01-07,12,2244391,0.194483776264631,0.371198935048121,0.391929760645601
2015-01-07,13,1423413,0.0434313354183757,0.233603166701205,0.335390252636813
2015-01-07,14,1943076,-0.0864491084745289,0.189516571364636,0.440458406769984
2015-01-07,15,3521319,-0.194784175858986,0.166075759032039,0.373369637308025
2015-01-07,16,1177173,0.0649702242669914,0.0649702242669914,0.313175795754234
2015-01-08,9,1633935,0.558540657206441,0.673734759462953,0.465740979666028
2015-01-08,10,3233651,0.693817161215904,0.562801672605142,0.457138725332388
2015-01-08,11,1907141,-0.223630357828064,0.309301221051838,0.340766719479914
2015-01-08,12,925662,0.106553020203837,0.170205921116935,0.352592337688158
2015-01-08,13,1314574,0.27650767378038,0.20755024300343,0.325702813603913
2015-01-08,14,1696878,0.243967238483167,0.3666940154224,0.346511376737147
2015-01-08,15,2723003,-0.254588023369129,0.308757407199751,0.333466756289386
2015-01-08,16,1086408,0.201602275295398,0.201602275295398,0.298808894450506
2015-01-09,9,1132990,-0.466893887198649,0.513428169446193,0.441642716740968
2015-01-09,10,1962705,-0.437031021233114,0.351315593528851,0.468108787065896
2015-01-09,11,1647288,-0.11757790890119,0.263028721478171,0.323478455871761
2015-01-09,12,1431032,0,0.370945606824034,0.346673001677255
2015-01-09,13,1001028,-0.0320907100149093,0.307427996907167,0.317886505324565
2015-01-09,14,1458206,-0.0213995292920544,0.299210472921724,0.379702410165588
2015-01-09,15,1873462,0.18175019703528,0.302885989102687,0.339383967932544
2015-01-09,16,567009,-0.0854883574184395,0.0854883574184395,0.288552225909849
2015-01-12,9,1483580,-0.319591195638935,0.673241457799045,0.449102301541358
2015-01-12,10,1782387,0.18548727694947,0.376130388614355,0.454694510151435
2015-01-12,11,1170759,0.0383337597334332,0.225255362217424,0.309419406728775
2015-01-12,12,1246457,0.117252641775556,0.131062530359169,0.319205931942022
2015-01-12,13,1106691,0.0701581350556868,0.142382137962997,0.293700953234955
2015-01-12,14,1147039,0.0465323328425082,0.178957812696866,0.329033521255112
2015-01-12,15,2338059,0.243993119508001,0.289084540399823,0.312246731497972
2015-01-12,16,673899,-0.201516746351604,0.201516746351604,0.271028837958171
2015-01-13,9,1504063,0.609181591912167,0.343068007276059,0.423677626020605
2015-01-13,10,2089677,-0.0209446016055104,0.286292310649489,0.432665070774987
2015-01-13,11,1406695,-0.0628601382668403,0.200371661336611,0.292819875622708
2015-01-13,12,1167440,-0.441130848742022,0.272625166263351,0.31062471629117
2015-01-13,13,1379021,-0.992275228609163,0.630501402058586,0.288125374726223
2015-01-13,14,1761436,0.22406890729858,0.382868161662503,0.35702661882802
2015-01-13,15,1906444,-0.00318229793760949,0.679200446524147,0.32212330619545
2015-01-13,16,376700,0.0742272448056802,0.0742272448056802,0.275965776117658
2015-01-14,9,1498848,-0.331108446694817,0.406034050954003,0.46022984082614
2015-01-14,10,2108779,0.0962412521486211,0.4426673247764,0.41268977339795
2015-01-14,11,1489454,-0.221065032402645,0.367820119490284,0.278033247927007
2015-01-14,12,1517592,0.0927227687964827,0.376422935488797,0.33717854801272
2015-01-14,13,1855522,-0.2786412691266,0.445560337704913,0.461548348038936
2015-01-14,14,1402503,0.556508285572566,0.500606608650713,0.321917855091929
2015-01-14,15,2093728,0.21321969698409,0.376028703304646,0.297729687711247
2015-01-14,16,650480,0,0,0.256482395202689
2015-01-15,9,913666,-0.488375532742857,0.412914266566984,0.422429445015914
2015-01-15,10,1620057,0.255314493160164,0.402347202953044,0.393576398566447
