date,hour,size,lret,vol
2003-09-16,9,489900.0,0.509627377066613,0.30747797602864096
2003-09-16,10,1009700.0,0.169300266171835,0.27928549031551503
2003-09-16,11,497500.0,0.0281888655848217,0.394183358976237
2003-09-16,12,404200.0,-0.0281888655848217,0.27756944870163797
2003-09-16,13,446400.0,-0.0281968139468791,0.14096023607570402
2003-09-16,14,881300.0,0.225352208044338,0.565555909690373
2003-09-16,15,1105000.0,0.280977987610376,0.390049221447884
2003-09-16,16,146700.0,-0.30911925696730497,0.30911925696730497
2003-09-17,9,421100.0,-0.33764804166063206,0.32813489201306106
2003-09-17,10,1180500.0,0.19709988078711,0.341110943296556
2003-09-17,11,625300.0,0.252844635335903,0.20829533070157896
2003-09-17,12,398400.0,0.0561009832385384,0.186228583553216
2003-09-17,13,758100.0,-0.393369431102464,0.39174636360339204
2003-09-17,14,660200.0,0.0,0.298353868864687
2003-09-17,15,987400.0,0.112549252173455,0.25173179768695897
2003-09-17,16,166300.0,-0.0281254396454322,0.0281254396454322
2003-09-18,9,448700.0,0.11213906417637501,0.46828333390484705
2003-09-18,10,1472800.0,-0.280583797996758,0.595335317660479
2003-09-18,11,828800.0,0.14039030805075303,0.252474239478937
2003-09-18,12,614400.0,-0.14039030805075303,0.31179599539969105
2003-09-18,13,723700.0,0.22452998486990303,0.26339798392979
2003-09-18,14,724500.0,0.168067266451821,0.158428985449061
2003-09-18,15,1390200.0,0.36317961416680894,0.35429549626650697
2003-09-18,16,159800.0,-0.0278901131357312,0.0278901131357312
2003-09-19,9,1524000.0,0.0564493382192666,0.15958123099033303
2003-09-19,10,1650600.0,-0.622702266882014,0.37977547877714
2003-09-19,11,962400.0,0.0283889285086047,0.235983304132267
2003-09-19,12,648600.0,-0.113604101965237,0.260460899253595
2003-09-19,13,775700.0,0.08521517345663202,0.19053147988478894
2003-09-19,14,730800.0,-0.08521517345663202,0.22553040406652103
2003-09-19,15,1097600.0,0.17035779247840402,0.34283601883409
2003-09-19,16,269800.0,-0.0567536905131671,0.0567536905131671
2003-09-22,9,861000.0,-0.314780629073086,0.672023243797496
2003-09-22,10,1381400.0,-0.603710328634177,0.44329886308645294
2003-09-22,11,1270400.0,-0.0576867624880961,0.27384391051175
2003-09-22,12,625900.0,0.08651766941985,0.154267034296876
2003-09-22,13,596500.0,-0.144237728742391,0.22512139282329102
2003-09-22,14,1080700.0,-0.20228297607012302,0.40647148135842504
2003-09-22,15,1090300.0,0.432963585861623,0.36162249017239506
2003-09-22,16,243200.0,-0.17296055046895903,0.17296055046895903
2003-09-23,9,3984900.0,1.8530117765604999,1.12066859509248
2003-09-23,10,4485300.0,-1.55180672956132,0.9327580812548051
2003-09-23,11,2868700.0,-0.9063506153347058,0.606728949838789
2003-09-23,12,2417900.0,0.695602381378224,0.428828702520802
2003-09-23,13,1774500.0,-0.665257972102751,0.36273887954768896
2003-09-23,14,2470100.0,-0.0303444092754734,0.47198361571731395
2003-09-23,15,3027900.0,0.30303053491786996,0.5445511377217829
2003-09-23,16,527500.0,0.211576321936402,0.211576321936402
2003-09-24,9,2174800.0,-0.7246957837156559,1.13432605345203
2003-09-24,10,2026700.0,0.24316121403722402,0.33301648594924604
2003-09-24,11,1734400.0,-0.121506697816809,0.32101365738624
2003-09-24,12,1752600.0,-0.0608087583346961,0.31878004779632896
2003-09-24,13,1174800.0,-0.12172856037513399,0.278819322006359
2003-09-24,14,1445200.0,-0.243902559935893,0.269075270375982
2003-09-24,15,2422900.0,-0.275103337189009,0.301130229503825
2003-09-24,16,469200.0,-0.15316284201110097,0.15316284201110097
2003-09-25,9,1163500.0,0.337890046553602,0.9122471030349399
2003-09-25,10,2230500.0,-0.49185466511287895,0.560465617535065
2003-09-25,11,1681100.0,1.04231477064576,0.7803415748471769
2003-09-25,12,1047500.0,0.0914494805388077,0.267633879797387
2003-09-25,13,1166200.0,-0.641909586071687,0.34994471109224795
2003-09-25,14,1153100.0,0.48944729094953,0.4451878718354121
2003-09-25,15,1704500.0,-0.428135210549385,0.448863789251065
2003-09-25,16,283300.0,0.0612745117210878,0.0612745117210878
2003-09-26,9,1187000.0,-1.48825829671591,1.7857656591975801
2003-09-26,10,1818700.0,-0.0612182449483356,0.94126245241281
2003-09-26,11,1016300.0,-0.36809857514268396,0.36248007547942696
2003-09-26,12,1103400.0,0.36809857514268396,0.47076007514764207
2003-09-26,13,1154800.0,-0.3373718887740739,0.36788143828675
2003-09-26,14,1013700.0,0.0,0.33909805348133504
2003-09-26,15,1806000.0,0.184162114664987,0.38570809949003493
2003-09-26,16,192600.0,-0.0613496951757497,0.0613496951757497
2003-09-29,9,736200.0,0.215484152951095,0.22836134807653
2003-09-29,10,906500.0,-0.15386985648553303,0.346537248455808
2003-09-29,11,981000.0,0.21535156761372,0.459077766164985
2003-09-29,12,969100.0,-0.0307361305631915,0.450373016067194
2003-09-29,13,521600.0,0.276285670760767,0.3795426776701029
2003-09-29,14,869700.0,0.0,0.25291031495087196
2003-09-29,15,1293400.0,0.122549034945107,0.35232746105910495
2003-09-29,16,183100.0,0.0612182449483356,0.0612182449483356
2003-09-30,9,457800.0,-0.33882675261542894,0.312643245781216
2003-09-30,10,1323900.0,-0.774357284269023,1.11831870365361
2003-09-30,11,753100.0,0.0932400999951177,0.645892760554744
2003-09-30,12,513600.0,0.4030388342177729,0.7132902328699109
2003-09-30,13,510100.0,0.0618620496066313,0.539355969458167
2003-09-30,14,740000.0,0.154487903427736,0.408531960592073
2003-09-30,15,1322200.0,0.24668529315166102,0.47583959160380396
