"date","hour","size","lret","vol","garch_vol"
2015-01-02,9,847960,0.0866738949168777,0.425771506064777,0.35673302168917
2015-01-02,10,1640899,-0.0732345205645579,0.600114151471279,0.35673302168917
2015-01-02,11,1105331,0.451552001454392,0.442773126308469,0.35673302168917
2015-01-02,12,890373,0.0323607143754678,0.303213438862171,0.35673302168917
2015-01-02,13,640692,-0.291624119836253,0.371583282894654,0.35673302168917
2015-01-02,14,804753,0.0540686685246428,0.336950609050974,0.35673302168917
2015-01-02,15,1530173,0.409969287125644,0.329166583019648,0.35673302168917
2015-01-02,16,755712,-0.0753944782334592,0.0753944782334592,0.35673302168917
2015-01-05,9,1583082,-0.963585261933542,0.638864753675474,0.35673302168917
2015-01-05,10,3324777,-0.855244323215665,0.680104285885997,0.35673302168917
2015-01-05,11,3158669,-0.332263014726664,0.540175376017371,0.385488875730211
2015-01-05,12,1590983,-0.0776871466850793,0.391016761809136,0.34229042775679
2015-01-05,13,1381677,0.454168601221383,0.439146791647459,0.350896264716607
2015-01-05,14,1314865,-0.199137138492578,0.336296117600331,0.34125371544423
2015-01-05,15,2420455,0.419936521638853,0.320380509592179,0.364539883414914
2015-01-05,16,785596,-0.375649541286993,0.375649541286993,0.336491605943913
2015-01-06,9,1206650,1.06917524423178,0.928679808878426,0.473743962090388
2015-01-06,10,2495318,-0.759371942673059,0.544619584112403,0.46562589726125
2015-01-06,11,2423914,-1.02155007844518,0.56834417555953,0.393128471661877
2015-01-06,12,1989348,-0.0826234094544631,0.384406352768559,0.352941373516294
2015-01-06,13,1763470,-0.454530970736577,0.327164857106793,0.369794050342636
2015-01-06,14,2038363,1.00480916858121,0.534766997716428,0.341766564603791
2015-01-06,15,2373611,0,0.445259615666218,0.394277220807457
2015-01-06,16,466195,-0.255937104245607,0.255937104245607,0.350679845366207
2015-01-07,9,932768,0.661970066662576,0.366618463869735,0.574894302824032
2015-01-07,10,2113404,-0.650938018551628,0.503097242614994,0.508143612681894
2015-01-07,11,1526170,0.242397650639514,0.526094496346089,0.525106599655214
2015-01-07,12,1530040,-0.385909294191933,0.458146714955175,0.332705389375919
2015-01-07,13,1202518,-0.187980372709884,0.416939902808806,0.380200551347574
2015-01-07,14,1416485,0.35355246197275,0.562817390876077,0.484581801922757
2015-01-07,15,1877846,-0.165572089262866,0.289097840382779,0.369993375957415
2015-01-07,16,709423,0.220701921410615,0.220701921410615,0.340871048785043
2015-01-08,9,1045022,0.665616237535183,0.525020782966071,0.572767017605844
2015-01-08,10,1600146,-0.0969979750073513,0.478560596091929,0.525547601410081
2015-01-08,11,1587024,0.228720896964774,0.424662780583986,0.494735316827831
2015-01-08,12,1162302,-0.245078139170207,0.35312837778401,0.338528693966193
2015-01-08,13,959775,-0.354956068773493,0.367272573266042,0.357875179017792
2015-01-08,14,1514681,0.327688051262154,0.480156270793458,0.469265157278677
2015-01-08,15,2470887,0.18418720365494,0.324562814036224,0.349448089185556
2015-01-08,16,1195727,0.381462080026918,0.381462080026918,0.326943272638887
2015-01-09,9,806303,-0.303819678148454,0.357871361202887,0.571635169797389
2015-01-09,10,2107296,0.0651819686305011,0.573596586005341,0.489050446940878
2015-01-09,11,1659717,-0.337231758270562,0.53588414135177,0.464068703843946
2015-01-09,12,1149305,0.17419710447415,0.431585271095508,0.327846135673384
2015-01-09,13,1314418,0.336645808514024,0.362528246718477,0.351614205064185
2015-01-09,14,1472995,0.119183068444517,0.439163896478016,0.451650533927301
2015-01-09,15,2403400,-0.0433228643188066,0.510071602522205,0.33088391510492
2015-01-09,16,754292,-0.21689630019166,0.21689630019166,0.335056160988953
2015-01-12,9,1176492,-1.2349919894282,0.627028769494552,0.540095263325965
2015-01-12,10,2545552,0.0221877081007626,0.334361993343716,0.479794765349281
2015-01-12,11,1503791,0.011092008219471,0.526384811309035,0.453298471991194
2015-01-12,12,1073807,0.188376143023117,0.441588297508546,0.316083868726104
2015-01-12,13,1085879,-0.182830600251727,0.273832029978379,0.352159531845194
2015-01-12,14,1305059,-0.183165482896985,0.221616932405459,0.426470181160031
2015-01-12,15,1984948,0.598096719273133,0.428851590528316,0.307371946753573
2015-01-12,16,849218,-0.143575677372176,0.143575677372176,0.327704256798953
2015-01-13,9,1520628,-0.645822353429537,0.993395789818675,0.665652843072988
2015-01-13,10,3054778,0.700387931385382,0.77968740913019,0.451372998474753
2015-01-13,11,1909942,-0.527207595245383,0.476454474561407,0.430196246532061
2015-01-13,12,1249930,-0.17318033614,0.335580191704594,0.314297085476222
2015-01-13,13,1912120,-1.04095125706269,0.576952709725455,0.334888594771481
2015-01-13,14,2230614,0.385356931598935,0.43099090735804,0.426995483156844
2015-01-13,15,2640826,0.178213457726351,0.903917961302703,0.357408558673259
2015-01-13,16,687697,0.155676668825144,0.155676668825144,0.316854955120353
2015-01-14,9,1648669,0.124486844965421,0.890996915563858,0.65363211948232
2015-01-14,10,2599890,-0.14697391499503,0.626422923044621,0.486775170950413
2015-01-14,11,2556790,-0.880963456766892,0.518506977521747,0.432753885264842
2015-01-14,12,2293468,-0.477599270358731,0.502045120537135,0.316861771039393
2015-01-14,13,2043203,-0.0798221149628908,0.508939395462951,0.48989885673197
2015-01-14,14,3913783,1.2664165283045,1.06243769185996,0.417262389438003
2015-01-14,15,4167402,1.12323730800776,0.700037285282672,0.377999992195051
2015-01-14,16,786971,-0.0557072043819495,0.0557072043819495,0.346014922524341
2015-01-15,9,1577846,-1.44800926097632,0.967801393211205,0.614440704813173
2015-01-15,10,2604648,-0.101027117533636,0.750581500532218,0.499271398777981
