date,hour,size,lret,vol
2003-09-16,9,1147700.0,-0.17714796483820897,0.254228846690537
2003-09-16,10,2364400.0,-0.23668650102663896,0.426263687494971
2003-09-16,11,1059600.0,0.0197452858771818,0.264184186360585
2003-09-16,12,1018700.0,-0.13829894528734102,0.18860286071299698
2003-09-16,13,1451200.0,0.0592943984167427,0.233156566815978
2003-09-16,14,1156500.0,0.07900454687059799,0.155580620948638
2003-09-16,15,1765300.0,0.49236928617846204,0.30953236192569605
2003-09-16,16,185300.0,-0.039300452461032996,0.039300452461032996
2003-09-17,9,1052300.0,-0.753373904263288,0.713800506094985
2003-09-17,10,2321300.0,-0.0597193209745939,0.440081425454574
2003-09-17,11,1203400.0,-0.0398327031755574,0.25161853307122
2003-09-17,12,851500.0,0.13934510068005498,0.162853231960537
2003-09-17,13,894700.0,-0.0796019942530535,0.15162170056876997
2003-09-17,14,931400.0,0.0796019942530535,0.271573560542656
2003-09-17,15,1330700.0,-0.019894558903788002,0.301114892037955
2003-09-17,16,129200.0,-0.0597074353492655,0.0597074353492655
2003-09-18,9,1059500.0,0.496772010193469,0.698650053284749
2003-09-18,10,1265200.0,0.29688294938017307,0.404045750858234
2003-09-18,11,923800.0,0.0197608932566595,0.34599578694628297
2003-09-18,12,921700.0,0.0987459347542519,0.234814618307133
2003-09-18,13,795200.0,0.236593170300337,0.20875052397032898
2003-09-18,14,768300.0,-0.11822661475617802,0.24288611026790302
2003-09-18,15,1098200.0,-0.0197180322042634,0.262214332884764
2003-09-18,16,191400.0,-0.0197219209790322,0.0197219209790322
2003-09-19,9,2095600.0,-1.01020964091822,0.6002438167111441
2003-09-19,10,1485700.0,0.139261934373991,0.7863231063460842
2003-09-19,11,1007500.0,0.178766558681343,0.2657329740558
2003-09-19,12,887200.0,-0.0992752985336853,0.271563524657
2003-09-19,13,906100.0,-0.11926059851230499,0.287929856268864
2003-09-19,14,840200.0,-0.159235702436344,0.156841791366596
2003-09-19,15,1079100.0,0.159235702436344,0.166507141383423
2003-09-19,16,302200.0,0.0596480781180464,0.0596480781180464
2003-09-22,9,595100.0,-0.139818259070523,0.186257965768267
2003-09-22,10,1463400.0,-0.120000014400024,0.29972855942646304
2003-09-22,11,751400.0,0.139986024259686,0.43332382747609294
2003-09-22,12,582900.0,-0.139986024259686,0.139955186330911
2003-09-22,13,570100.0,0.10001000933592699,0.17785376283350798
2003-09-22,14,826900.0,-0.120024019209586,0.315286681064098
2003-09-22,15,1144400.0,0.379582915056753,0.273160373964282
2003-09-22,16,133500.0,-0.0997506317125474,0.0997506317125474
2003-09-23,9,693100.0,0.0992555912751492,0.40454512222609207
2003-09-23,10,1119400.0,-0.63694482854797,0.402355494916512
2003-09-23,11,983000.0,-0.0998901291729304,0.197348431925846
2003-09-23,12,679000.0,-0.0399840069301494,0.19771521077374202
2003-09-23,13,793400.0,0.099930057281572,0.22167921981910396
2003-09-23,14,867300.0,-0.0399600404917599,0.28267401963366495
2003-09-23,15,1194200.0,-0.0399760149237594,0.217085666283715
2003-09-23,16,212700.0,-0.0399920021326938,0.0399920021326938
2003-09-24,9,685600.0,-0.320384735406121,0.273068371059624
2003-09-24,10,1293300.0,-0.12040940648043699,0.23426808383397305
2003-09-24,11,1042200.0,-0.16077173880968398,0.315187682000925
2003-09-24,12,1475900.0,-0.302145461002779,0.242683614685837
2003-09-24,13,1144200.0,-0.0807265432336557,0.23691293505995398
2003-09-24,14,1301300.0,-0.16164885314249303,0.24561376326133103
2003-09-24,15,1562000.0,0.0202204024549069,0.258376377049064
2003-09-24,16,247400.0,-0.0202204024549069,0.0202204024549069
2003-09-25,9,682800.0,0.463944352095869,0.597803179453033
2003-09-25,10,1246500.0,-0.302328155301534,0.381248545745165
2003-09-25,11,916300.0,0.483287287823231,0.267156705759258
2003-09-25,12,583200.0,-0.020090406898321,0.363423987768391
2003-09-25,13,479000.0,-0.483384627031658,0.34787018649158297
2003-09-25,14,765000.0,0.483384627031658,0.428245319141365
2003-09-25,15,1555000.0,-0.543972329581788,0.34348691140588594
2003-09-25,16,169600.0,0.0,0.0
2003-09-26,9,773000.0,0.0403714175850833,0.272680478421303
2003-09-26,10,1391800.0,0.0403551256485724,0.43618723206325
2003-09-26,11,1081900.0,-0.121114265915123,0.278399798659349
2003-09-26,12,858300.0,-0.0808244133714275,0.230781084281237
2003-09-26,13,579000.0,-0.30367469434735606,0.182187183289893
2003-09-26,14,1027600.0,-0.24360547978812302,0.198944245823205
2003-09-26,15,1541900.0,0.0,0.40537825780247494
2003-09-26,16,202700.0,-0.0813338800428554,0.0813338800428554
2003-09-29,9,762300.0,0.8100489818998019,0.455619596381747
2003-09-29,10,1324600.0,-0.08071025458309401,0.41332129866293604
2003-09-29,11,796200.0,0.28220135640095695,0.289186915975093
2003-09-29,12,920000.0,0.32154368539747397,0.4554726882550129
2003-09-29,13,621500.0,-0.0401364645163493,0.30857181753960305
2003-09-29,14,1729100.0,-0.12050614031102701,0.596965725596626
2003-09-29,15,1328500.0,0.0803535599683158,0.432635227658154
2003-09-29,16,199200.0,0.0200783054584708,0.0200783054584708
2003-09-30,9,663900.0,-0.221528637569923,0.33432018522076395
2003-09-30,10,1451300.0,-0.242228620659501,0.643940315420448
2003-09-30,11,947200.0,0.22206529767556696,0.33983679632798003
2003-09-30,12,990000.0,-0.20185715372478302,0.29795016372651895
2003-09-30,13,923900.0,0.44354911427864097,0.334635601824217
2003-09-30,14,1090600.0,-0.30220633456394796,0.463924121203669
2003-09-30,15,1317400.0,0.0201755271540982,0.32708448724854605
